Phrase,Category
Totally unqualified,professionalism
She's a fraud,professionalism
They're useless,professionalism
Completely inept,professionalism
Total sham,professionalism
They're unethical,professionalism
What a disaster,professionalism
Unbelievably bad,professionalism
Totally shady,professionalism
They're a disgrace,professionalism
Absolute incompetence,professionalism
He's a cheat,professionalism
Such a scam,professionalism
Lacks integrity,professionalism
Totally unreliable,professionalism
Complete joke,professionalism
Unethical behavior,professionalism
Serious misconduct,professionalism
He's a charlatan,professionalism
They're corrupt,professionalism
Absolutely dishonest,professionalism
Lack of professionalism,professionalism
He's a swindler,professionalism
Totally unscrupulous,professionalism
She's deceitful,professionalism
They're fraudulent,professionalism
Completely unethical,professionalism
Utterly dishonest,professionalism
Blatantly corrupt,professionalism
Grossly incompetent,professionalism
Instant wealth creation,financial
Surefire investment success,financial
Quick financial gain,financial
Rapid wealth accumulation,financial
Easy proﬁt-making,financial
Guaranteed return on investment,financial
Effortless financial growth,financial
Speedy income generation,financial
Rapid revenue increase,financial
Quick financial turnaround,financial
Instant money-making,financial
Guaranteed financial results,financial
Easy wealth accumulation,financial
Rapid proﬁt-making,financial
Effortless income boost,financial
Speedy proﬁt increase,financial
Quick revenue growth,financial
Instant financial improvement,financial
Guaranteed wealth boost,financial
Easy financial success,financial
Rapid wealth gain,financial
Quick proﬁt generation,financial
Instant revenue increase,financial
Guaranteed income boost,financial
Effortless wealth creation,financial
Speedy financial gains,financial
Quick wealth improvement,financial
Instant proﬁt increase,financial
Guaranteed revenue boost,financial
Blasting calls out,telemarketing
Spamming their inbox,telemarketing
Bombarding with texts,telemarketing
Nonstop robocalls,telemarketing
Endless phone spam,telemarketing
Persistent marketing tactics,telemarketing
Secret proﬁt sharing,RESPA compliance
Covert referral fee,RESPA compliance
Hidden kickback deal,RESPA compliance
Undercovered commission,RESPA compliance
Backhanded payment,RESPA compliance
Disguised referral fee,RESPA compliance
Cloaked compensation,RESPA compliance
Sneaky proﬁt split,RESPA compliance
Concealed kickback,RESPA compliance
Underhanded commission,RESPA compliance
Shrouded payment,RESPA compliance
Masked referral agreement,RESPA compliance
Veiled kickback arrangement,RESPA compliance
Hidden ﬁnancial incentive,RESPA compliance
Covert proﬁt exchange,RESPA compliance
Undercover referral agreement,RESPA compliance
Sly commission deal,RESPA compliance
Disguised proﬁt sharing,RESPA compliance
Cloaked ﬁnancial reward,RESPA compliance
Sneaky commission split,RESPA compliance
Concealed referral incentive,RESPA compliance
Underhanded proﬁt arrangement,RESPA compliance
Shrouded commission incentive,RESPA compliance
Masked kickback deal,RESPA compliance
Veiled ﬁnancial agreement,RESPA compliance
Hidden commission scheme,RESPA compliance
Covert referral incentive,RESPA compliance
Undercover proﬁt sharing,RESPA compliance
Sly kickback arrangement,RESPA compliance
Disguised commission incentive,RESPA compliance
Avoid renting to them,fair housing laws
Prefer not to sell to those people,fair housing laws
Don't deal with that community,fair housing laws
Exclude certain types,fair housing laws
Only rent to our kind,fair housing laws
Steer clear of that neighborhood,fair housing laws
Not suitable for certain families,fair housing laws
Don't want those kinds of tenants,fair housing laws
Avoid selling to that group,fair housing laws
Prefer not to work with them,fair housing laws
Exclude these types of buyers,fair housing laws
Only deal with certain demographics,fair housing laws
Steer away from those areas,fair housing laws
Not for those kinds of people,fair housing laws
Avoid these types of clients,fair housing laws
Prefer not to associate with them,fair housing laws
Exclude certain income levels,fair housing laws
Only cater to speciﬁc groups,fair housing laws
Steer clients to certain neighborhoods,fair housing laws
Not open to all families,fair housing laws
Avoid certain types of families,fair housing laws
Not interested in certain demographics,fair housing laws
Prefer homogenous neighborhood,fair housing laws
Selective about client race,fair housing laws
Gender-speciﬁc housing,fair housing laws
Excluding disabled tenants,fair housing laws
Age-restricted sales,fair housing laws
Ethnicity-based client choices,fair housing laws
Sexual orientation discrimination,fair housing laws
Family status limitations,fair housing laws
Biased housing advertisements,fair housing laws
Racially targeted marketing,fair housing laws
Exclusionary rental practices,fair housing laws
Segregation in housing offers,fair housing laws
Discriminatory lending practices,fair housing laws
Steering towards certain areas,fair housing laws
Blockbusting tactics,fair housing laws
Redlining practices,fair housing laws
Discriminatory zoning policies,fair housing laws
Personal investment involved,conflict of interest
Hidden stake in the property,conflict of interest
Beneﬁtting from this deal,conflict of interest
My partner's listing,conflict of interest
Friend's property on sale,conflict of interest
Selling my own investment,conflict of interest
Family member's business,conflict of interest
Personal connection to the buyer,conflict of interest
bloody,offensive
bastard,hate language